k,method,cohort,metric,users,mean,ci95_low,ci95_high,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,SUPPORT__FM,common_k30,als_mae,113,0.8225369434788794,0.722549425795833,0.9248954610670854,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__FM,common_k30,als_order,74,0.5872933328984715,0.5120228569582018,0.6599746372139035,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__FM,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,mse,118,0.8604645822350112,0.6719074822808839,1.0751584210730754,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,mae,118,0.6977224759040596,0.6128775675351591,0.7860909740789497,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,pa,72,0.6367583426478083,0.5599338260573226,0.7120594488993389,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,als_mae,118,0.8321911978917511,0.7298462915944828,0.9414949463391552,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,als_order,78,0.6198150835479419,0.5438351521307346,0.694381496207119,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__GBT,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,SUPPORT__GBT,common_k30,mse,113,0.8610563721029182,0.666634857576433,1.0850444742377985,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,SUPPORT__GBT,common_k30,mae,113,0.6943327457007009,0.6073018170849461,0.7866563473806186,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
