level,cohort,method,k,support,metric,users,observed_pairs_all_group_users,mean,status
100,eligible_k,GBT,0,0,mse,133,812,1.0578287429983175,DESCRIPTIVE
100,eligible_k,GBT,0,0,pa,78,812,0.6406409430149312,DESCRIPTIVE
100,eligible_k,GBT,0,10_49,mse,164,1702,0.9593610228803998,DESCRIPTIVE
100,eligible_k,GBT,0,10_49,pa,122,1702,0.5620812763513835,DESCRIPTIVE
100,eligible_k,GBT,0,1_9,mse,122,1227,1.0615185944744063,DESCRIPTIVE
100,eligible_k,GBT,0,1_9,pa,67,1227,0.5641837186364579,DESCRIPTIVE
100,eligible_k,GBT,0,50_PLUS,mse,265,15219,0.8391168044246609,DESCRIPTIVE
100,eligible_k,GBT,0,50_PLUS,pa,241,15219,0.5798702828496429,DESCRIPTIVE
100,eligible_k,GBT,1,0,mse,95,605,0.7520394811244131,DESCRIPTIVE
100,eligible_k,GBT,1,0,pa,61,605,0.6192297138826107,DESCRIPTIVE
100,eligible_k,GBT,1,10_49,mse,117,870,0.8489677635184744,DESCRIPTIVE
100,eligible_k,GBT,1,10_49,pa,90,870,0.5171433561040154,DESCRIPTIVE
100,eligible_k,GBT,1,1_9,mse,88,740,0.9514473218810277,DESCRIPTIVE
100,eligible_k,GBT,1,1_9,pa,53,740,0.5868565031594136,DESCRIPTIVE
100,eligible_k,GBT,1,50_PLUS,mse,181,3616,0.7807176665497362,DESCRIPTIVE
100,eligible_k,GBT,1,50_PLUS,pa,157,3616,0.5612602834546128,DESCRIPTIVE
100,eligible_k,GBT,5,0,mse,95,605,0.6998590545113937,DESCRIPTIVE
100,eligible_k,GBT,5,0,pa,61,605,0.6226128507500586,DESCRIPTIVE
100,eligible_k,GBT,5,10_49,mse,117,870,0.7708293238703247,DESCRIPTIVE
100,eligible_k,GBT,5,10_49,pa,90,870,0.5382801449763637,DESCRIPTIVE
100,eligible_k,GBT,5,1_9,mse,88,740,0.9274201046538633,DESCRIPTIVE
100,eligible_k,GBT,5,1_9,pa,53,740,0.5633726112992078,DESCRIPTIVE
100,eligible_k,GBT,5,50_PLUS,mse,180,3473,0.7093299318332976,DESCRIPTIVE
100,eligible_k,GBT,5,50_PLUS,pa,156,3473,0.5724892623052786,DESCRIPTIVE
100,eligible_k,GBT,10,0,mse,95,605,0.7501801914567516,DESCRIPTIVE
100,eligible_k,GBT,10,0,pa,61,605,0.6295660508338363,DESCRIPTIVE
100,eligible_k,GBT,10,10_49,mse,117,870,0.7414764553239495,DESCRIPTIVE
100,eligible_k,GBT,10,10_49,pa,90,870,0.550843653255048,DESCRIPTIVE
100,eligible_k,GBT,10,1_9,mse,88,740,0.8567900715578829,DESCRIPTIVE
100,eligible_k,GBT,10,1_9,pa,53,740,0.5673639110441826,DESCRIPTIVE
100,eligible_k,GBT,10,50_PLUS,mse,180,3473,0.689864705205664,DESCRIPTIVE
100,eligible_k,GBT,10,50_PLUS,pa,156,3473,0.5757815175995538,DESCRIPTIVE
100,eligible_k,GBT,30,0,mse,95,605,0.7278609695970012,DESCRIPTIVE
100,eligible_k,GBT,30,0,pa,61,605,0.6245687452167907,DESCRIPTIVE
100,eligible_k,GBT,30,10_49,mse,117,870,0.7256816509954375,DESCRIPTIVE
100,eligible_k,GBT,30,10_49,pa,90,870,0.5427241295653574,DESCRIPTIVE
100,eligible_k,GBT,30,1_9,mse,88,740,0.8398504052564539,DESCRIPTIVE
100,eligible_k,GBT,30,1_9,pa,53,740,0.5764043642537127,DESCRIPTIVE
100,eligible_k,GBT,30,50_PLUS,mse,177,3407,0.6435448762659295,DESCRIPTIVE
100,eligible_k,GBT,30,50_PLUS,pa,153,3407,0.5859873528315733,DESCRIPTIVE
100,eligible_k,RIDGE,0,0,mse,133,812,1.0898691982681163,DESCRIPTIVE
100,eligible_k,RIDGE,0,0,pa,78,812,0.6010289020895903,DESCRIPTIVE
100,eligible_k,RIDGE,0,10_49,mse,164,1702,0.9792030527323787,DESCRIPTIVE
100,eligible_k,RIDGE,0,10_49,pa,122,1702,0.5608979325690602,DESCRIPTIVE
100,eligible_k,RIDGE,0,1_9,mse,122,1227,1.092006028287649,DESCRIPTIVE
100,eligible_k,RIDGE,0,1_9,pa,67,1227,0.5328887867526956,DESCRIPTIVE
100,eligible_k,RIDGE,0,50_PLUS,mse,265,15219,0.8573679471219995,DESCRIPTIVE
100,eligible_k,RIDGE,0,50_PLUS,pa,241,15219,0.5757109936438789,DESCRIPTIVE
100,eligible_k,RIDGE,1,0,mse,95,605,0.7847328377549508,DESCRIPTIVE
100,eligible_k,RIDGE,1,0,pa,61,605,0.5805815898748982,DESCRIPTIVE
100,eligible_k,RIDGE,1,10_49,mse,117,870,0.898745334709784,DESCRIPTIVE
100,eligible_k,RIDGE,1,10_49,pa,90,870,0.529494602444238,DESCRIPTIVE
100,eligible_k,RIDGE,1,1_9,mse,88,740,0.9504718242939841,DESCRIPTIVE
100,eligible_k,RIDGE,1,1_9,pa,53,740,0.5308764957188419,DESCRIPTIVE
100,eligible_k,RIDGE,1,50_PLUS,mse,181,3616,0.7873923361355362,DESCRIPTIVE
100,eligible_k,RIDGE,1,50_PLUS,pa,157,3616,0.5539173826354704,DESCRIPTIVE
100,eligible_k,RIDGE,5,0,mse,95,605,0.7522050389767014,DESCRIPTIVE
100,eligible_k,RIDGE,5,0,pa,61,605,0.6129158734279131,DESCRIPTIVE
100,eligible_k,RIDGE,5,10_49,mse,117,870,0.8458063218162227,DESCRIPTIVE
100,eligible_k,RIDGE,5,10_49,pa,90,870,0.5648351047861732,DESCRIPTIVE
100,eligible_k,RIDGE,5,1_9,mse,88,740,0.9085469416539713,DESCRIPTIVE
100,eligible_k,RIDGE,5,1_9,pa,53,740,0.5241701254280686,DESCRIPTIVE
100,eligible_k,RIDGE,5,50_PLUS,mse,180,3473,0.7382249538037217,DESCRIPTIVE
100,eligible_k,RIDGE,5,50_PLUS,pa,156,3473,0.5693183565506494,DESCRIPTIVE
100,eligible_k,RIDGE,10,0,mse,95,605,0.7467976851140737,DESCRIPTIVE
100,eligible_k,RIDGE,10,0,pa,61,605,0.6110270793872946,DESCRIPTIVE
100,eligible_k,RIDGE,10,10_49,mse,117,870,0.8424679358529297,DESCRIPTIVE
100,eligible_k,RIDGE,10,10_49,pa,90,870,0.5552332462446967,DESCRIPTIVE
100,eligible_k,RIDGE,10,1_9,mse,88,740,0.8793022450492448,DESCRIPTIVE
100,eligible_k,RIDGE,10,1_9,pa,53,740,0.5448479784821584,DESCRIPTIVE
100,eligible_k,RIDGE,10,50_PLUS,mse,180,3473,0.7206668441164049,DESCRIPTIVE
100,eligible_k,RIDGE,10,50_PLUS,pa,156,3473,0.5723030398535816,DESCRIPTIVE
100,eligible_k,RIDGE,30,0,mse,95,605,0.741670418105684,DESCRIPTIVE
100,eligible_k,RIDGE,30,0,pa,61,605,0.6025766550872258,DESCRIPTIVE
100,eligible_k,RIDGE,30,10_49,mse,117,870,0.831422598710776,DESCRIPTIVE
100,eligible_k,RIDGE,30,10_49,pa,90,870,0.5750440793438167,DESCRIPTIVE
100,eligible_k,RIDGE,30,1_9,mse,88,740,0.8709475695990165,DESCRIPTIVE
100,eligible_k,RIDGE,30,1_9,pa,53,740,0.5172318140323628,DESCRIPTIVE
100,eligible_k,RIDGE,30,50_PLUS,mse,177,3407,0.7176350208615512,DESCRIPTIVE
100,eligible_k,RIDGE,30,50_PLUS,pa,153,3407,0.584654823439023,DESCRIPTIVE
