level,method,k,cohort,metric,users,mean,ci95_low,ci95_high,status
25,ALS_FM,10,common_k30,pa,167,0.5886580371981959,0.5537957775890231,0.6220379795721964,DESCRIPTIVE_CI
25,ALS_FM,10,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,10,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,10,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,mse,183,0.6513435051527174,0.5775399713367313,0.7315243753854799,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,mae,183,0.6237878347959323,0.583971724945909,0.6658677788185531,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,pa,167,0.592540861505095,0.5580400579159243,0.6257793870165966,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,30,eligible_k,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,mse,183,0.6513435051527174,0.5775399713367313,0.7315243753854799,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,mae,183,0.6237878347959323,0.583971724945909,0.6658677788185531,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,pa,167,0.592540861505095,0.5580400579159243,0.6257793870165966,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS_FM,30,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,mse,271,0.901382216332554,0.8135915132333231,1.001076532937186,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,mae,271,0.7418711343765171,0.7047719670418333,0.7816044149591386,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,pa,255,0.5580075024660673,0.5338515905240311,0.5816510625435232,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,als_direct,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,actual_movie_support,271,0.9112590938189224,0.8922969732891535,0.928605862140413,DESCRIPTIVE_CI
25,RIDGE,0,eligible_k,prediction_outside_scale,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,mse,183,0.8477518242655989,0.7363786832341349,0.9867261226346725,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,mae,183,0.7094005836291962,0.6610776311674226,0.7629094683708522,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,pa,167,0.5488383158926297,0.5145405556465539,0.582931089491661,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,als_direct,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,0,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,mse,187,0.8457479174468521,0.7484400573073785,0.9523524529603071,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,mae,187,0.7253295697985375,0.6794890374712886,0.7734649216088811,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,pa,171,0.534695603412598,0.49956693617947034,0.5682615420727473,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,als_direct,187,0.8388426545491552,0.8009323380644697,0.8744587882370438,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,actual_movie_support,187,0.8797538388426925,0.8534772795768318,0.9038548196193715,DESCRIPTIVE_CI
25,RIDGE,1,eligible_k,prediction_outside_scale,187,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,mse,183,0.8492970498661816,0.7515215308466539,0.9631896736408776,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,mae,183,0.7260810363059752,0.6800938202408144,0.7778148413325241,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,pa,167,0.5381169502305208,0.5033615877856179,0.5725311069638072,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,als_direct,183,0.8353200896212678,0.7971538397931226,0.8715440223104914,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,1,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,mse,186,0.7938457859662252,0.7006286315219497,0.8995390291131476,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,mae,186,0.6946017987737588,0.6505425123168468,0.7421520990691345,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,pa,170,0.5451571167971019,0.5090712726001166,0.5796417077806079,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,RIDGE,5,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,mse,183,0.7987816129811991,0.7056383037452283,0.9087384202510985,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,mae,183,0.6960676529640485,0.6515357189533484,0.7460426046432813,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,pa,167,0.5487135077931333,0.5135665342617362,0.5831536680092506,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,5,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,mse,186,0.7761043078300741,0.6852668863857664,0.8799879126763672,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,mae,186,0.6823869370478378,0.6385022461733301,0.7293529128298984,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,pa,170,0.5499941167280962,0.5154473761345584,0.5841693926130497,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,als_direct,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,actual_movie_support,186,0.8791073541052876,0.8534996785919103,0.9032048261143653,DESCRIPTIVE_CI
25,RIDGE,10,eligible_k,prediction_outside_scale,186,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,mse,183,0.7809848595211916,0.6891390302702101,0.8875881450524793,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,mae,183,0.6840617749918024,0.6392853195119779,0.7331560304027415,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,pa,167,0.5517722113966216,0.5169676005071544,0.5861741785707235,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,RIDGE,10,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,RIDGE,30,eligible_k,mse,183,0.7778728521804826,0.6907661362087305,0.8772525123291168,DESCRIPTIVE_CI
25,RIDGE,30,eligible_k,mae,183,0.6897438416743844,0.6463718598708623,0.7374992954946894,DESCRIPTIVE_CI
25,RIDGE,30,eligible_k,pa,167,0.5582290236341817,0.5229347286375683,0.5935074370981245,DESCRIPTIVE_CI
