role,k,method,metric,original_user_macro,observed_cell_equal_mean,adequate_cell_equal_mean,observed_cells,adequate_cells,intended_cells
validation,0,ALS_FM,direct_rate,0.0,0.0,0.0,12,12,24
validation,0,FM,mse,1.042813773309357,1.0595331294304067,1.0595331294304067,12,12,24
validation,0,FM,mae,0.8077547920259828,0.8118233358505266,0.8118233358505266,12,12,24
validation,0,FM,pair_accuracy,0.564540126338206,0.5597438917679527,0.5597438917679527,12,12,24
validation,0,FM,direct_rate,0.0,0.0,0.0,12,12,24
validation,0,GBT,mse,0.9674880672551575,1.010462218202363,1.010462218202363,12,12,24
validation,0,GBT,mae,0.7630640178376416,0.7789175744975668,0.7789175744975668,12,12,24
validation,0,GBT,pair_accuracy,0.5687808262633206,0.5672892827771561,0.5672892827771561,12,12,24
validation,0,GBT,direct_rate,0.0,0.0,0.0,12,12,24
validation,0,RIDGE,mse,0.9927818783363627,1.0401726141124263,1.0401726141124263,12,12,24
validation,0,RIDGE,mae,0.7853143838241056,0.8038314041751847,0.8038314041751847,12,12,24
validation,0,RIDGE,pair_accuracy,0.5766179554733222,0.575547911094619,0.575547911094619,12,12,24
validation,0,RIDGE,direct_rate,0.0,0.0,0.0,12,12,24
validation,1,ALS,mse,1.631666447160612,1.8680588624467767,1.8680588624467767,12,12,24
validation,1,ALS,mae,1.004670319071282,1.091695980291245,1.091695980291245,12,12,24
validation,1,ALS,pair_accuracy,0.5174164732970308,0.5361650076000558,0.5361650076000558,12,12,24
validation,1,ALS,direct_rate,0.3739031462872451,0.5007983910553,0.5007983910553,12,12,24
validation,1,ALS_FM,mse,1.111175939953885,1.0881137393985592,1.0881137393985592,12,12,24
validation,1,ALS_FM,mae,0.8232841166684053,0.8153101267351849,0.8153101267351849,12,12,24
validation,1,ALS_FM,pair_accuracy,0.5675623599517328,0.5686844295089668,0.5686844295089668,12,12,24
validation,1,ALS_FM,direct_rate,0.3739031462872451,0.5007983910553,0.5007983910553,12,12,24
validation,1,FM,mse,1.0965049935226259,1.0769955428680549,1.0769955428680549,12,12,24
validation,1,FM,mae,0.8038881591693964,0.7959674119696812,0.7959674119696812,12,12,24
validation,1,FM,pair_accuracy,0.5695281355654004,0.5616472639682316,0.5616472639682316,12,12,24
validation,1,FM,direct_rate,0.3739031462872451,0.5007983910553,0.5007983910553,12,12,24
validation,1,GBT,mse,0.9531978589513457,0.9814316508461918,0.9814316508461918,12,12,24
validation,1,GBT,mae,0.748365772884265,0.7570579806202603,0.7570579806202603,12,12,24
validation,1,GBT,pair_accuracy,0.563040560005429,0.5613830269492298,0.5613830269492298,12,12,24
validation,1,GBT,direct_rate,0.3739031462872451,0.5007983910553,0.5007983910553,12,12,24
validation,1,RIDGE,mse,0.9778042280804659,1.020277368754515,1.020277368754515,12,12,24
validation,1,RIDGE,mae,0.7704230273972401,0.7852646830498836,0.7852646830498836,12,12,24
validation,1,RIDGE,pair_accuracy,0.5654894582249794,0.5685171207903623,0.5685171207903623,12,12,24
validation,1,RIDGE,direct_rate,0.3739031462872451,0.5007983910553,0.5007983910553,12,12,24
validation,5,ALS,mse,1.2289162695776528,1.3543115125491922,1.3543115125491922,12,12,24
validation,5,ALS,mae,0.8710406289781872,0.9230595014902837,0.9230595014902837,12,12,24
validation,5,ALS,pair_accuracy,0.5362055744646816,0.5526001136818034,0.5526001136818034,12,12,24
validation,5,ALS,direct_rate,0.5530390311753643,0.7463972122227934,0.7463972122227934,12,12,24
validation,5,ALS_FM,mse,0.945759533101246,0.9402531132678775,0.9402531132678775,12,12,24
validation,5,ALS_FM,mae,0.7677274040026997,0.7635325088690986,0.7635325088690986,12,12,24
validation,5,ALS_FM,pair_accuracy,0.5758060449278443,0.5810010723376587,0.5810010723376587,12,12,24
validation,5,ALS_FM,direct_rate,0.5530390311753643,0.7463972122227934,0.7463972122227934,12,12,24
validation,5,FM,mse,0.9630494924917391,0.97117377175848,0.97117377175848,12,12,24
validation,5,FM,mae,0.7650475472709611,0.7640146242093202,0.7640146242093202,12,12,24
validation,5,FM,pair_accuracy,0.5679294282759555,0.5613422867325152,0.5613422867325152,12,12,24
validation,5,FM,direct_rate,0.5530390311753643,0.7463972122227934,0.7463972122227934,12,12,24
validation,5,GBT,mse,0.9128806999537664,0.9416075923412612,0.9416075923412612,12,12,24
validation,5,GBT,mae,0.7343917769594432,0.7410248788960883,0.7410248788960883,12,12,24
validation,5,GBT,pair_accuracy,0.5638042768514482,0.5553374074477001,0.5553374074477001,12,12,24
validation,5,GBT,direct_rate,0.5530390311753643,0.7463972122227934,0.7463972122227934,12,12,24
validation,5,RIDGE,mse,0.9772956778983609,1.0205387341275707,1.0205387341275707,12,12,24
validation,5,RIDGE,mae,0.7715945904470133,0.7863764399513551,0.7863764399513551,12,12,24
validation,5,RIDGE,pair_accuracy,0.5737215962236225,0.5708842126713614,0.5708842126713614,12,12,24
validation,5,RIDGE,direct_rate,0.5530390311753643,0.7463972122227934,0.7463972122227934,12,12,24
validation,10,ALS,mse,1.0491005808880542,1.142163385844034,1.142163385844034,12,12,24
validation,10,ALS,mae,0.7968007378724021,0.8313198689033724,0.8313198689033724,12,12,24
validation,10,ALS,pair_accuracy,0.548632971358482,0.5613609165918386,0.5613609165918386,12,12,24
validation,10,ALS,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,10,ALS_FM,mse,0.8991419230682607,0.8961744734835261,0.8961744734835261,12,12,24
validation,10,ALS_FM,mae,0.7450082547620007,0.7379040373587248,0.7379040373587248,12,12,24
validation,10,ALS_FM,pair_accuracy,0.5793569896388895,0.5835277103458784,0.5835277103458784,12,12,24
validation,10,ALS_FM,direct_rate,0.5550853576076213,0.75,0.75,12,12,24
validation,10,FM,mse,0.9255405612034023,0.9363223758746608,0.9363223758746608,12,12,24
