k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
5,2000_2009,ALS,277,1.2437685833474714,0.8571598581142358,0.5674789872233692,242,2615,9165,15235
5,2000_2009,ALS_FM,277,0.9564663599037162,0.7438050971606263,0.5984414791443927,242,2615,9165,15235
5,2000_2009,FM,277,1.0035407996349401,0.7615231080126411,0.589911875252139,242,2615,9165,15235
5,2000_2009,GBT,277,0.9936156080197,0.7525859936440993,0.5889200170811706,242,2615,9165,15235
5,2000_2009,RIDGE,277,1.0842594929858713,0.7985518195406973,0.583914096149451,242,2615,9165,15235
5,2010_2018,ALS,291,1.2850313530313149,0.8695301424912761,0.5206729152778118,267,4291,16239,27261
5,2010_2018,ALS_FM,291,0.9706374755784078,0.7535127098724782,0.5654735939795056,267,4291,16239,27261
5,2010_2018,FM,291,0.9872662320169988,0.7539465846143427,0.5686578093809931,267,4291,16239,27261
5,2010_2018,GBT,291,0.9689552361807979,0.7341678102920103,0.5521443089208885,267,4291,16239,27261
5,2010_2018,RIDGE,291,1.038249391403614,0.7707816434023285,0.569685986041558,267,4291,16239,27261
5,2019_PLUS,ALS,247,0.8863776628437366,0.7153350303918767,0.49976662989403703,211,2440,10680,18622
5,2019_PLUS,ALS_FM,247,0.953028335740238,0.7743798903901403,0.5836187456772481,211,2440,10680,18622
5,2019_PLUS,FM,247,0.9529017179767997,0.7742961463236174,0.5837657852768894,211,2440,10680,18622
5,2019_PLUS,GBT,247,0.9055535554560445,0.7233401529691197,0.568661901790766,211,2440,10680,18622
5,2019_PLUS,RIDGE,247,0.9817592853210066,0.7612416998135036,0.5813934399026708,211,2440,10680,18622
5,ALL,ALS,300,1.1910570109209695,0.8397991882363812,0.5351394100395765,294,14533,48326,82095
5,ALL,ALS_FM,300,0.943062981928515,0.7511605625649594,0.5713109060293613,294,14533,48326,82095
5,ALL,FM,300,0.9581320696835026,0.751720210676833,0.5655944631277955,294,14533,48326,82095
5,ALL,GBT,300,0.9384932097126644,0.7306684156417275,0.5689860057585568,294,14533,48326,82095
5,ALL,RIDGE,300,1.0146684876911716,0.7704652103597281,0.5738250568819857,294,14533,48326,82095
5,ALS_DIRECT,ALS,290,1.51046874517429,0.9696563937751973,0.5870142345647182,273,5104,22133,34452
5,ALS_DIRECT,ALS_FM,290,0.8851558061427403,0.7211730264636441,0.6020815421886015,273,5104,22133,34452
5,ALS_DIRECT,FM,290,0.9144885979506094,0.7236474648148965,0.5918564651238699,273,5104,22133,34452
5,ALS_DIRECT,GBT,290,0.8965402669188434,0.7143629411714556,0.5797142969071927,273,5104,22133,34452
5,ALS_DIRECT,RIDGE,290,0.9748588176475885,0.7547314593341093,0.5876840924373591,273,5104,22133,34452
5,BEFORE_2000,ALS,264,1.2287998210250712,0.8713586120299281,0.5586001028196613,228,5187,12242,20977
